Date,Open,High,Low,Close,Adj Close,Volume
2016-08-03,828.265076,839.114807,815.922180,831.549927,675.672241,7138971
2016-08-04,831.549927,847.277100,817.216187,841.105591,683.436646,8763502
2016-08-05,856.036499,867.981201,842.499207,855.937012,695.487854,6442668
2016-08-08,866.289001,889.182983,861.610718,871.265991,707.943359,5555591
2016-08-09,870.171082,880.722229,855.041077,874.948914,710.935974,5481614
2016-08-10,869.076111,886.097290,865.990417,872.858582,709.237488,4763244
2016-08-11,879.627319,886.555176,856.733276,880.821716,715.707886,4613407
2016-08-12,882.613403,888.685303,837.124084,852.950806,693.061523,10258119
2016-08-15,850.263184,876.541626,850.263184,868.677979,705.840515,5993082
2016-08-16,864.497314,905.806091,862.606079,885.898193,719.832703,7564383
2016-08-17,884.206116,893.674194,854.643005,861.710205,700.178894,6857687
2016-08-18,870.967407,887.590393,869.573792,875.944275,711.744812,4155062
2016-08-19,878.532288,883.111084,856.036499,865.990417,703.656738,4817375
2016-08-22,860.217102,860.217102,821.894592,831.151672,675.348694,6340147
2016-08-23,839.612488,874.053101,839.313904,872.062317,708.590515,5685233
2016-08-24,866.388611,866.488098,836.924988,844.689026,686.348389,7505666
2016-08-25,837.721313,843.395020,818.211609,835.730530,679.069214,5856321
2016-08-26,838.915771,860.714783,831.251282,854.543396,694.355530,7095113
2016-08-30,850.860474,850.960022,810.447571,813.732422,661.194763,6633788
2016-08-31,808.158203,808.158203,770.134216,776.206116,630.702820,9465265
2016-09-01,785.363708,834.874512,761.573914,785.065125,637.901306,8544953
2016-09-02,789.544373,821.496399,773.618103,804.276184,653.511108,11157924
2016-09-05,810.945313,831.749023,795.745605,810.248474,658.363953,5028003
2016-09-06,815.125916,837.820801,815.125916,822.989502,668.716614,6661993
2016-09-07,826.174805,846.381226,811.044800,836.327820,679.554565,6535470
2016-09-08,837.124084,860.018127,837.124084,854.941589,694.679077,6808412
2016-09-09,848.172913,864.397827,830.397217,842.698303,684.730896,7566699
2016-09-12,813.334229,823.487183,792.132385,815.723206,662.812317,10579605
2016-09-13,811.642029,817.377502,779.092773,780.187683,633.938171,8918262
2016-09-14,791.535095,813.234680,782.477112,799.896423,649.952332,7780186
2016-09-15,792.829224,811.442993,789.345276,807.760010,656.341858,6684140
2016-09-16,811.243896,820.600586,798.005188,810.646729,658.687500,7938987
2016-09-19,824.980286,863.501892,824.781189,856.932373,696.296692,6082244
